CustomerID,Full Name,Email,Gender,City,Membership Level,Join Date
CUST001,Huynh Binh,binh.huynh12@example.com,Other,Ha Noi,Platinum,2022-06-03
CUST002,Nguyen Binh,binh.nguyen63@example.com,Other,Can Tho,Silver,2022-12-21
CUST003,Vu Giang,giang.vu48@example.com,Other,Ho Chi Minh City,Bronze,2022-12-16
CUST004,Dang Trang,trang.dang54@example.com,Other,Ho Chi Minh City,Silver,2022-01-28
CUST005,Hoang Nam,nam.hoang68@example.com,Other,Ho Chi Minh City,Bronze,2022-04-22
CUST006,Phan Giang,giang.phan45@example.com,Female,Ha Noi,Bronze,2022-03-20
CUST007,Dang Giang,giang.dang63@example.com,Female,Hai Phong,Gold,2022-10-09
CUST008,Le Binh,binh.le23@example.com,Other,Da Nang,Gold,2022-08-22
CUST009,Le Dung,dung.le36@example.com,Female,Can Tho,Silver,2022-01-17
CUST010,Huynh Giang,giang.huynh61@example.com,Male,Ha Noi,Platinum,2022-04-02
CUST011,Dang Trang,trang.dang72@example.com,Other,Hai Phong,Gold,2022-09-12
CUST012,Nguyen Chi,chi.nguyen56@example.com,Female,Can Tho,Silver,2022-04-27
CUST013,Tran Quang,quang.tran87@example.com,Other,Can Tho,Gold,2022-02-10
CUST014,Hoang Binh,binh.hoang47@example.com,Other,Can Tho,Silver,2022-05-21
CUST015,Huynh Phuong,phuong.huynh53@example.com,Other,Ha Noi,Bronze,2022-07-12
CUST016,Le Quang,quang.le32@example.com,Male,Ha Noi,Bronze,2022-01-09
CUST017,Vo Oanh,oanh.vo65@example.com,Other,Ho Chi Minh City,Silver,2022-03-21
CUST018,Nguyen Anh,anh.nguyen67@example.com,Female,Hai Phong,Silver,2022-10-24
CUST019,Hoang Chi,chi.hoang49@example.com,Male,Hai Phong,Gold,2022-06-05
CUST020,Le Nam,nam.le71@example.com,Male,Hai Phong,Gold,2022-10-10
CUST021,Hoang Hanh,hanh.hoang23@example.com,Other,Ha Noi,Bronze,2022-09-21
CUST022,Le Binh,binh.le74@example.com,Other,Ha Noi,Gold,2022-09-09
CUST023,Huynh Giang,giang.huynh60@example.com,Female,Ho Chi Minh City,Silver,2022-08-26
CUST024,Le Anh,anh.le27@example.com,Other,Hai Phong,Gold,2022-01-27
CUST025,Vu Giang,giang.vu70@example.com,Female,Hai Phong,Bronze,2022-06-24
CUST026,Nguyen Minh,minh.nguyen74@example.com,Other,Ha Noi,Bronze,2022-09-14
CUST027,Phan Quang,quang.phan85@example.com,Male,Hai Phong,Bronze,2022-10-01
CUST028,Tran Quang,quang.tran31@example.com,Other,Ha Noi,Silver,2022-01-20
CUST029,Pham Minh,minh.pham72@example.com,Other,Da Nang,Bronze,2022-05-28
